label,manifestUrl,projectId,size,progress,attribution,thumbnail
大坂一件大塩平八郎存書,https://www.dheq.org/repo/iiif/2/5939/manifest,tokushima,11,4,徳島県立図書館,https://www.dheq.org/repo/files/medium/bc1217cd5b8ae5f75be9428149d16d825cfecd5b.jpg
信州大地震一件,https://www.dheq.org/repo/iiif/2/5944/manifest,tokushima,16,16,徳島県立図書館,https://www.dheq.org/repo/files/medium/a39fd036bd801d29dec2f3b0b150f85afa9250c6.jpg
（宝暦十年）卯月廿日献立,https://www.dheq.org/repo/iiif/2/5942/manifest,tokushima,10,7,徳島県立図書館,https://www.dheq.org/repo/files/medium/a880cbef6cfeebe4a6326ff32b9e81390d2e0f35.jpg
近頃古狸珍説　礼義智信,https://www.dheq.org/repo/iiif/2/5949/manifest,tokushima,97,47,徳島県立図書館,https://www.dheq.org/repo/files/medium/952b297118da7534c1512b8d0fbdbda3a430a7d2.jpg
新聞文庫・絵,http://honkoku.org/manifests/amabie.json,tokushima,84,0,,https://rmda.kulib.kyoto-u.ac.jp/iiif/RB00000122/RB00000122_00002_0.ptif/full/400,/0/default.jpg
近頃古狸珍説　礼義智信,https://www.dheq.org/repo/iiif/4979/manifest,tokushima,97,1,,https://www.dheq.org/repo/files/medium/be81ff572e35973eb7bbb9e9ea4d53db630262a3.jpg
浦賀御奉行見込秘書写,https://www.dheq.org/repo/iiif/2/5940/manifest,tokushima,5,5,徳島県立図書館,https://www.dheq.org/repo/files/medium/46f014c8c0ec0b165628de3d4bc5590da699070a.jpg
元禄年中大地震・大火事記,https://www.dheq.org/repo/iiif/2/5945/manifest,tokushima,12,12,徳島県立図書館,https://www.dheq.org/repo/files/medium/50cefbce04f1fc7f9a04094ff24d3a6451cd2ffd.jpg
越後地震由来,https://www.dheq.org/repo/iiif/2/5946/manifest,tokushima,13,13,徳島県立図書館,https://www.dheq.org/repo/files/medium/708e7a8aaaf3291d06f6ff1da232c20a699a039f.jpg
花土産,https://www.dheq.org/repo/iiif/2/5948/manifest,tokushima,43,35,徳島県立図書館,https://www.dheq.org/repo/files/medium/0af7b0fd7b92d827afb1da9849df608d58fd32b4.jpg
名薬秘伝之書,https://www.dheq.org/repo/iiif/2/5947/manifest,tokushima,18,14,徳島県立図書館,https://www.dheq.org/repo/files/medium/58e2497fbdd25e4af38d5a477e99604f884fd1dd.jpg
光姫様御かねはじめ御式,https://www.dheq.org/repo/iiif/2/5941/manifest,tokushima,9,9,徳島県立図書館,https://www.dheq.org/repo/files/medium/a05d3d6d2430ab20108eaab3a820b01515f6cf40.jpg
天児之書（あまがつのしょ）,https://www.dheq.org/repo/iiif/2/5943/manifest,tokushima,10,10,徳島県立図書館,https://www.dheq.org/repo/files/medium/1b5d195bed5f0c2ce0735fb37ef34d0e969a5d12.jpg
